state,trends
AL,"['#WinAsOne', 'Birmingham', 'Cam Newton', 'Austin Rivers', 'Justin Fields', 'Taysom Hill', 'Jason Witten', '#ThoughtsBeforeABlindDate', 'Eric Reid', 'Thomas Davis']"
AK,"['#cannabis', '#MondayMotivation', '#IDEVASW', 'Fortnite', 'McDavid', 'Christmas', 'Santa', '#bcfood', '#Canucks', 'Flyers']"
AZ,"['#DaBears', 'Devin Booker', 'Cardinals', 'Santa', 'I-10', 'Sedona', 'i-17', '#BREAKING', 'Cam Newton', 'Justin Fields']"
AR,"['#DaBears', 'Devin Booker', 'Cardinals', 'Santa', 'I-10', 'Sedona', 'i-17', '#BREAKING', 'Cam Newton', 'Justin Fields']"
CA,"['#NOvsCAR', 'Carlton Dance', 'Eli Apple', 'Justin Fields', 'Austin Rivers', 'Jason Witten', '#ThoughtsBeforeABlindDate', 'Eric Reid', 'Thomas Davis', 'Jordan Bell']"
CO,"['#GoAvsGo', 'Vance Joseph', 'mike shanahan', '#MondayMotivation', '#BroncosCountry', '#wawx', '#Nuggets', 'Cam Newton', 'Austin Rivers', 'Justin Fields']"
CT,"['Cam Newton', 'Austin Rivers', 'Justin Fields', 'Taysom Hill', 'Jason Witten', '#ThoughtsBeforeABlindDate', 'Eric Reid', 'Thomas Davis', 'Jordan Bell', '#GauntletMatch']"
DE,"['Saints', 'Nick Foles', '#Flyers', 'Rams', 'Austin Rivers', 'Justin Fields', 'Jason Witten', '#ThoughtsBeforeABlindDate', 'Eric Reid', 'Thomas Davis']"
FL,"['Cam Newton', 'Austin Rivers', 'Justin Fields', 'Taysom Hill', 'Jason Witten', '#ThoughtsBeforeABlindDate', 'Eric Reid', 'Thomas Davis', 'Jordan Bell', '#GauntletMatch']"
GA,"['Saints', 'Justin Fields', 'Falcons', '#MondayMotivation', 'Julio Jones', 'Russian', 'Cobb County', 'Austin Rivers', 'Jason Witten', '#ThoughtsBeforeABlindDate']"
HI,"['#hitraffic', 'Cam Newton', 'Justin Fields', 'Austin Rivers', 'Taysom Hill', 'Jason Witten', '#ThoughtsBeforeABlindDate', 'Eric Reid', 'Thomas Davis', 'Jordan Bell']"
ID,"['#Utes', '#SLUGPlaylist', '#Utah', 'Jazz', 'salt lake', 'Cam Newton', 'Justin Fields', 'Austin Rivers', 'Taysom Hill', 'Jason Witten']"
